Column1,time,topicName,query,hotPos,popular,id,active_time_hr,climbing_time,top_hotPos,max_span_up_hotPos,max_span_down_hotPos,hotPos_flucation_avg_span,max_span_up_popular,max_span_down_popular,popular_avg,is_business_day
53,2022-02-19 18:00:00,Bama,Bama,17,5114,M_002,3179.0,999.0,1,16.0,12.0,2.6875,50100.0,138886.0,54623.208333333336,1
54,2021-12-04 21:00:00,Bama,Bama,2,31500,M_002,1334.0,999.0,1,8.0,12.0,3.1538461538461537,6400.0,75400.0,33650.0,1
55,2021-12-31 17:00:00,Bama,Bama,4,13000,M_002,1978.0,999.0,1,8.0,12.0,2.4210526315789473,23800.0,118000.0,53392.10526315789,0
56,2021-11-21 05:00:00,Bama,Bama,11,27500,M_002,1006.0,999.0,1,8.0,12.0,2.92,6400.0,75400.0,33736.0,1
57,2021-11-21 02:00:00,Bama,Bama,3,24300,M_002,1003.0,999.0,1,8.0,12.0,2.9545454545454546,6400.0,75400.0,34681.818181818184,1
58,2021-11-21 03:00:00,Bama,Bama,5,25800,M_002,1004.0,999.0,1,8.0,12.0,2.9130434782608696,6400.0,75400.0,34295.65217391304,1
59,2021-11-21 04:00:00,Bama,Bama,8,27100,M_002,1005.0,999.0,1,8.0,12.0,2.9166666666666665,6400.0,75400.0,33995.833333333336,1
60,2021-10-10 07:00:00,Bama,Bama,2,88700,M_002,0.0,0.0,2,0.0,-0.0,0.0,0.0,-0.0,88700.0,1
61,2021-10-10 09:00:00,Bama,Bama,2,89700,M_002,2.0,0.0,2,0.0,-0.0,0.0,1000.0,-0.0,89200.0,1
62,2021-10-10 10:00:00,Bama,Bama,2,90100,M_002,3.0,0.0,2,0.0,-0.0,0.0,1000.0,-0.0,89500.0,1
63,2021-10-10 11:00:00,Bama,Bama,5,91000,M_002,4.0,0.0,2,3.0,-0.0,0.75,1000.0,-0.0,89875.0,1
64,2021-10-10 12:00:00,Bama,Bama,8,92400,M_002,5.0,0.0,2,3.0,-0.0,1.2,1400.0,-0.0,90380.0,1
65,2021-10-24 03:00:00,Bama,Bama,12,17700,M_002,332.0,0.0,2,8.0,4.0,2.5714285714285716,1400.0,75400.0,69514.28571428571,1
66,2021-10-24 04:00:00,Bama,Bama,11,18200,M_002,333.0,0.0,2,8.0,4.0,2.375,1400.0,75400.0,63100.0,1
67,2021-10-24 05:00:00,Bama,Bama,14,18400,M_002,334.0,0.0,2,8.0,4.0,2.4444444444444446,1400.0,75400.0,58133.333333333336,1
68,2021-11-03 02:00:00,Bama,Bama,6,18500,M_002,571.0,0.0,2,8.0,8.0,3.0,1400.0,75400.0,54170.0,0
69,2021-11-07 01:00:00,Bama,Bama,7,13000,M_002,666.0,0.0,2,8.0,8.0,2.8181818181818183,1400.0,75400.0,50427.27272727273,1
70,2021-10-24 02:00:00,Bama,Bama,4,17000,M_002,331.0,0.0,2,3.0,4.0,1.6666666666666667,1400.0,75400.0,78150.0,1
71,2021-11-07 03:00:00,Bama,Bama,6,21400,M_002,668.0,0.0,2,8.0,8.0,3.076923076923077,6400.0,75400.0,45807.692307692305,1
72,2021-11-07 05:00:00,Bama,Bama,9,22700,M_002,670.0,0.0,2,8.0,8.0,3.0714285714285716,6400.0,75400.0,44157.142857142855,1
73,2021-11-07 08:00:00,Bama,Bama,13,23200,M_002,673.0,0.0,2,8.0,8.0,3.1333333333333333,6400.0,75400.0,42760.0,1
74,2021-11-20 22:00:00,Bama,Bama,1,12200,M_002,999.0,999.0,1,8.0,12.0,3.6875,6400.0,75400.0,40850.0,1
75,2021-11-20 22:00:00,Bama,Bama,2,12200,M_002,999.0,999.0,1,8.0,12.0,3.5294117647058822,6400.0,75400.0,39164.705882352944,1
76,2021-11-20 23:00:00,Bama,Bama,1,16000,M_002,1000.0,999.0,1,8.0,12.0,3.388888888888889,6400.0,75400.0,37877.77777777778,1
77,2021-11-20 23:00:00,Bama,Bama,2,16000,M_002,1000.0,999.0,1,8.0,12.0,3.263157894736842,6400.0,75400.0,36726.31578947369,1
78,2021-11-21 00:00:00,Bama,Bama,1,19100,M_002,1001.0,999.0,1,8.0,12.0,3.15,6400.0,75400.0,35845.0,1
